"Notes"	"County"	"County Code"	Births
	"Baldwin County, AL"	"01003"	2322
	"Calhoun County, AL"	"01015"	1338
	"Etowah County, AL"	"01055"	1213
	"Houston County, AL"	"01069"	1295
	"Jefferson County, AL"	"01073"	8706
	"Lee County, AL"	"01081"	1898
	"Madison County, AL"	"01089"	4253
	"Mobile County, AL"	"01097"	5607
	"Montgomery County, AL"	"01101"	3172
	"Morgan County, AL"	"01103"	1435
	"Shelby County, AL"	"01117"	2283
	"Tuscaloosa County, AL"	"01125"	2538
	"Unidentified Counties, AL"	"01999"	22881
	"Anchorage Borough, AK"	"02020"	4136
	"Unidentified Counties, AK"	"02999"	6309
	"Cochise County, AZ"	"04003"	1335
	"Coconino County, AZ"	"04005"	1508
	"Maricopa County, AZ"	"04013"	52633
	"Mohave County, AZ"	"04015"	1753
	"Navajo County, AZ"	"04017"	1508
	"Pima County, AZ"	"04019"	10983
	"Pinal County, AZ"	"04021"	4392
	"Yavapai County, AZ"	"04025"	1798
	"Yuma County, AZ"	"04027"	2960
	"Unidentified Counties, AZ"	"04999"	3002
	"Benton County, AR"	"05007"	3713
	"Faulkner County, AR"	"05045"	1545
	"Pulaski County, AR"	"05119"	5259
	"Saline County, AR"	"05125"	1275
	"Sebastian County, AR"	"05131"	1828
	"Washington County, AR"	"05143"	3199
	"Unidentified Counties, AR"	"05999"	20701
	"Alameda County, CA"	"06001"	18888
	"Butte County, CA"	"06007"	2386
	"Contra Costa County, CA"	"06013"	12180
	"El Dorado County, CA"	"06017"	1570
	"Fresno County, CA"	"06019"	14541
	"Humboldt County, CA"	"06023"	1372
	"Imperial County, CA"	"06025"	2894
	"Kern County, CA"	"06029"	13326
	"Kings County, CA"	"06031"	2373
	"Los Angeles County, CA"	"06037"	116950
	"Madera County, CA"	"06039"	2120
	"Marin County, CA"	"06041"	2237
	"Merced County, CA"	"06047"	4202
	"Monterey County, CA"	"06053"	5810
	"Napa County, CA"	"06055"	1291
	"Orange County, CA"	"06059"	37369
	"Placer County, CA"	"06061"	3689
	"Riverside County, CA"	"06065"	29857
	"Sacramento County, CA"	"06067"	19202
	"San Bernardino County, CA"	"06071"	29643
	"San Diego County, CA"	"06073"	41230
	"San Francisco County, CA"	"06075"	8947
	"San Joaquin County, CA"	"06077"	9928
	"San Luis Obispo County, CA"	"06079"	2550
	"San Mateo County, CA"	"06081"	8585
	"Santa Barbara County, CA"	"06083"	5531
	"Santa Clara County, CA"	"06085"	22133
	"Santa Cruz County, CA"	"06087"	2658
	"Shasta County, CA"	"06089"	2008
	"Solano County, CA"	"06095"	5131
	"Sonoma County, CA"	"06097"	4642
	"Stanislaus County, CA"	"06099"	7441
